num,polygon
3,"[[0.0, 0.0], [4.2554202899, 0.0], [0.0, 8.5108405797]]"
3,"[[-4658.5609049578, -6024.3067833728], [-7675.8416190685, -6027.3833345317], [-4658.5609049578, -7090.6854735728], [-8176.4609049578, -7071.8138831716]]"
3,"[[-4658.560904959, -941.0308945807], [-7675.1288058763, -941.0308945807], [-4658.5609049591, -2033.2308945809], [-7667.0503626007, -2023.5575032649]]"
3,"[[-2899.8848185578, -1004.3321141718], [122.6648839906, -3295.4297738699], [3150.1660480422, -991.8308945718], [-2925.0109049578, -984.8948911718]]"
3,"[[3156.1247864422, -997.7608801718], [3164.6390950422, -7087.8308945718], [2097.8390950422, -7087.8308945718], [2089.2648932422, -3182.1749009718], [93.7601999605, -4654.2459237449], [-1851.8609049578, -3168.9010133718], [-1864.8743409578, -7087.8308945718], [-2956.7609049578, -7087.8308945718], [-2943.5507459578, -993.8166157718]]"
3,"[[7657.5640436422, -991.9979503718], [10770.6027888186, -7087.8308945718], [9568.5137396422, -7087.8308945718], [7660.7229770714, -3368.4524723361], [5743.7612926422, -7087.8308945718], [4534.4532718422, -7087.8308945718]]"
3,"[[230.5470299927, 282.3763752406], [6127.6342388474, 3687.0612627076], [230.5470299927, 7091.7461502669], [-5666.6023402439, 3664.9890851002]]"
3,"[[-7675.128805875444, -941.0308945806601], [-8680.023444134571, -1106.085350124351], [-9576.438614790219, -1589.2996391464853], [-10266.704525171926, -2338.0246756329607], [-10675.612577119584, -3270.6823900969225], [-10758.609793438702, -4285.654148019301], [-10506.653131156032, -5272.352707675762], [-9947.194775121468, -6123.27136134359], [-9141.191058327113, -6745.697433909998], [-8176.460904958891, -7071.813883171446]]"
3,"[[-7667.050362601323, -2023.5575032649053], [-8354.289151649866, -2140.517228976962], [-8959.754878642116, -2486.0428923498766], [-9410.02916423716, -3018.236276697541], [-9650.512042105769, -3672.5639591805443], [-9652.04271525278, -4369.682591589163], [-9414.435575250262, -5025.060023021899], [-8966.50270899448, -5559.2256133957335], [-8362.560163831997, -5907.406791454241], [-7675.841619068041, -6027.383334531714]]"
3,"[[3156.1247864422103, -997.7608801718378], [3156.029824511123, -996.7297456146689], [3155.7577877709273, -995.7306198691656], [3155.3168912018205, -994.793674588643], [3154.7204490222493, -993.9472036973704], [3153.9864726254186, -993.2167689691162], [3153.137126670269, -992.6244281113204], [3152.1980597519023, -992.1880686652521], [3151.1976298639224, -991.9208678370707], [3150.16604804221, -991.8308945718406]]"
3,"[[-2925.010904957762, -984.8948911717807], [-2927.4375616405114, -983.4482529653327], [-2930.1438805794182, -982.6375356550432], [-2932.9662209732505, -982.5117602296513], [-2935.7339266451777, -983.0785318502083], [-2938.279644971969, -984.3035799949474], [-2940.449446059878, -986.1128306672415], [-2942.1121302991937, -988.396885368123], [-2943.167161505062, -991.017636006954], [-2943.5507459577652, -993.8166157717849]]"
3,"[[230.5470299944925, 282.3763752394998], [1068.7212240880604, -77.6312101431904], [1967.2646577244248, -234.98793559987143], [2877.8976673931334, -181.23886231316237], [3751.6910042203963, 80.72801668828788], [4541.694852871216, 536.8369513676794], [5205.461493450223, 1162.5807392169313], [5707.326061180742, 1924.3375224713611], [6020.322856297106, 2781.177325132493], [6127.634238847384, 3687.0612627054165]]"
3,"[[230.5470299926751, 282.3763752406385], [-1506.5586217631267, -237.6789177239857], [-3292.293321003813, 77.19429013946456], [-4746.769297647199, 1160.0115353243223], [-5560.569012996116, 2780.4199950654083], [-5560.569012996115, 4593.702530442192], [-4746.769297647199, 6214.110990183279], [-3292.2933210038136, 7296.928235368135], [-1506.5586217631248, 7611.801443231585], [230.5470299926751, 7091.746150266961]]"
3,"[[230.5470299926801, 282.3763752406], [124.35136101877151, 1188.4793463481096], [-188.47991538382303, 2045.4721741261462], [-690.991564201036, 2806.9064504505563], [-1355.9478077287285, 3431.5129734329944], [-2147.308485556041, 3885.4385091184968], [-3022.1824058950156, 4144.080612940332], [-3933.1520179891995, 4193.421064900608], [-4830.843409992725, 4030.785647228307], [-5666.602340243588, 3664.989085100384]]"
2,"[[0.0, 0.0], [4.2554202899, 0.0], [0.0, 8.5108405797], [50.0, 0.0], [50.0, 160.0], [0.0, 160.0]]"
2,"[[50.0, 160.0], [48.49231551964771, 168.5505035831417], [44.15111107797445, 176.0696902421635], [37.5, 181.65063509461098], [29.34120444167326, 184.6201938253052], [20.658795558326744, 184.6201938253052], [12.500000000000005, 181.65063509461098], [5.8488889220255516, 176.0696902421635], [1.5076844803522924, 168.55050358314173], [0.0, 160.0]]"
1,"[[0.0, 0.0], [3.9237060134, 0.0], [0.0, 7.8474120267], [10.0, 0.0], [10.0, 100.0], [0.0, 100.0]]"
